node_aa,grid_id,chi_hat,l_r_hat,l_f_hat,l_R,l_F,l_R_new,l_F_new,lr_pct,lf_pct,dist_center_km,delta_residents,delta_workers
27,sq_10_43,0.9998669097242988,0.9998811764879584,0.9999429350946496,782.0,477.0,781.9070800135835,476.9727800401479,-0.011882351204162145,-0.005706490535040132,55.473548036969056,-0.09291998641651844,-0.027219959852118336
28,sq_10_44,0.9998669097242988,0.99988151841312,0.9999428423628752,4529.0,2157.0,4528.46339689302,2156.876710976722,-0.011848158687999266,-0.005715763712477173,56.06899164094124,-0.5366031069797828,-0.12328902327817559
29,sq_10_45,0.9998669097242988,0.9998815061036522,0.9999428470524117,4656.0,2528.0,4655.448292418605,2527.8555173484965,-0.011849389634777108,-0.005715294758834588,56.751765810609115,-0.5517075813950214,-0.1444826515034947
30,sq_10_46,0.9998669097242988,0.9998861387901614,0.999937270132744,1701.0,1198.0,1700.8063220820645,1197.9248496190273,-0.011386120983858383,-0.006272986725597285,57.51876019611517,-0.1936779179354744,-0.07515038097267279
31,sq_10_47,0.9998669097242988,0.9998816238182456,0.9999427786987416,1232.0,1721.0,1231.8541605440787,1720.9015221405343,-0.011837618175436493,-0.00572213012584033,58.36665426079604,-0.14583945592130476,-0.09847785946567456
32,sq_10_48,0.9998669097242988,0.999879069934195,0.9999437211461776,381.0,189.0,380.9539256449283,188.98936329662757,-0.012093006580504717,-0.005627885382242237,59.291977053288036,-0.04607435507170976,-0.010636703372426837
33,sq_10_50,0.9998669097242988,0.9998814884917914,0.9999428551758314,809.0,370.0,808.9041241898592,369.97885641505763,-0.011851150820862966,-0.00571448241686312,61.36060451941961,-0.0958758101407966,-0.021143584942365123
34,sq_10_51,0.9998669097242988,0.9998785044754748,0.9999439414424196,168.0,118.0,167.97958875187976,117.9933850902055,-0.012149552452522805,-0.005605855758039624,62.496693919262,-0.02041124812024009,-0.0066149097944929736
35,sq_11_18,0.9998669097242988,0.9998805546705536,0.9999431021132236,541.0,303.0,540.9353800767695,302.9827599403067,-0.01194453294464104,-0.005689788677643026,67.99480619616493,-0.06461992323045251,-0.01724005969327891
36,sq_11_19,0.9998669097242988,0.999881495849293,0.9999428547809286,4077.0,2793.0,4076.5168585775673,2792.8403934031335,-0.01185041507070217,-0.005714521907140835,66.51612884934111,-0.4831414224327091,-0.15960659686652434
37,sq_11_20,0.9998669097242988,0.9998818104418856,0.999942738844767,6185.0,4360.0,6184.268997583063,4359.750341363184,-0.011818955811437881,-0.005726115523296826,65.08540990909405,-0.7310024169373719,-0.24965863681609335
38,sq_11_21,0.9998669097242988,0.9998815824050282,0.9999428124184808,2138.0,2604.0,2137.7468231819503,2603.851083537724,-0.011841759497177584,-0.005718758151918024,63.705879302886835,-0.2531768180497238,-0.14891646227579258
39,sq_11_22,0.9998669097242988,0.9998812326587976,0.9999429296287384,1530.0,787.0,1529.8182859679603,786.9550856178172,-0.011876734120241927,-0.005707037126156944,62.380931831608805,-0.18171403203973568,-0.044914382182810186
40,sq_11_23,0.9998669097242988,0.9998804888858024,0.999943508644451,5297.0,3341.0,5296.366949628095,3340.8112623811107,-0.01195111141976124,-0.0056491355548971,61.1141163549892,-0.6330503719045737,-0.1887376188892631
41,sq_11_24,0.9998669097242988,0.9998814823802034,0.999942851032681,2374.0,1812.0,2373.7186391706027,1811.896446071218,-0.01185176197966431,-0.005714896731900954,59.909119397011246,-0.281360829397272,-0.10355392878204839
42,sq_11_25,0.9998669097242988,0.9998813928497732,0.9999428768134916,2344.0,1695.0,2343.721984839868,1694.9031761988683,-0.011860715022682378,-0.005712318650841208,58.76974231845808,-0.2780151601318721,-0.0968238011316771
43,sq_11_26,0.9998669097242988,0.9998816779149446,0.9999427697870334,1509.0,1743.0,1508.8214519736514,1742.9002477387994,-0.011832208505535569,-0.005723021296655251,57.69987129104107,-0.1785480263486079,-0.09975226120059233
44,sq_11_27,0.9998669097242988,0.9998817366523288,0.999942765684459,1954.0,924.0,1953.7689134186505,923.94711549244,-0.011826334767117697,-0.005723431554105485,56.70343948484781,-0.2310865813494729,-0.052884507559952
45,sq_11_29,0.9998669097242988,0.9998811141432709,0.9999429697177764,1197.0,774.0,1196.8576936294953,773.9558585615589,-0.011888585672914509,-0.00570302822235913,54.94657780173672,-0.1423063705046843,-0.044141438441101855
46,sq_11_30,0.9998669097242988,0.9998800009991864,0.9999433891134764,1278.0,381.0,1277.84664127696,380.9784312522345,-0.01199990008136087,-0.0056610886523644766,54.1937967994366,-0.15335872303990072,-0.021568747765513763
