edge_i,edge_j,chi_hat_asym,mean_lr_hat_asym,std_lr_hat_asym,mean_lf_hat_asym,std_lf_hat_asym,chi_hat_sym,mean_lr_hat_sym,std_lr_hat_sym,mean_lf_hat_sym,std_lf_hat_sym,d_chi_hat,d_mean_lr_hat,d_mean_lf_hat
42.0,94.0,0.9999999979648116,0.9999999931053563,1.2835419661094556e-06,1.0000000248716678,1.8351879665025595e-06,0.9999999979169836,0.9999999927850767,1.3437209142219866e-06,1.0000000260076571,1.919718130992182e-06,4.7828074833944356e-11,3.2027958063451933e-10,-1.135989302625262e-09
43.0,42.0,0.9999999974979544,1.000000007061593,9.06016434027526e-07,1.0000000025697628,6.652346383572579e-07,0.9999999974503886,1.0000000072554935,9.311410150576705e-07,1.0000000026423799,6.838943109958197e-07,4.7565840155527894e-11,-1.939004512507836e-10,-7.261702350547239e-11
43.0,44.0,0.9999999974246474,1.000000008325441,1.3042425069253617e-06,1.0000000100313116,1.0966692561502904e-06,0.9999999975183816,1.0000000095612176,1.4987302855345068e-06,1.0000000115251504,1.26024757081574e-06,-9.37342425899601e-11,-1.235776592167781e-09,-1.4938388304130967e-09
44.0,43.0,0.99999999,1.0000000110452036,3.3433632470387325e-06,0.9999999988745139,2.178536091114081e-06,0.99999999,1.0000000097779316,2.960961879878751e-06,0.9999999989919282,1.9288252815675474e-06,0.0,1.2672720650641622e-09,-1.1741430050449253e-10
44.0,45.0,0.99999999,1.0000000054250908,2.7326386475250444e-06,1.0000000144671988,2.081761019270212e-06,0.99999999,1.0000000056053098,2.8239978495006974e-06,1.0000000149225696,2.149837376021376e-06,0.0,-1.8021895087372286e-10,-4.553708521370936e-10
44.0,96.0,0.99999999,1.0000000141633736,3.493834420336213e-06,0.9999999953119058,2.0362558712276164e-06,0.99999999,1.000000013449503,3.3201558133269523e-06,0.9999999955259787,1.93402504459148e-06,0.0,7.138705182541116e-10,-2.1407298156361776e-10
45.0,44.0,0.99999999,1.0000000329694698,3.3539727631323366e-06,0.9999999995863367,1.6923474817953439e-06,0.99999999,1.0000000297901388,2.9898777541853553e-06,1.0000000000493163,1.4875213593036616e-06,0.0,3.1793310206751357e-09,-4.6297965461405965e-10
45.0,46.0,0.99999999,1.0000000253855599,3.163365033807228e-06,1.0000000138514278,2.0448167142966845e-06,0.99999999,1.000000024683215,3.0756496076738464e-06,1.00000001346207,1.9877321991306583e-06,0.0,7.02344848946268e-10,3.893578792713015e-10
45.0,97.0,0.99999999,1.000000029810398,3.3116814733013248e-06,0.9999999977573554,1.8794276601197786e-06,0.99999999,1.000000029874885,3.3182014287059845e-06,0.9999999977434898,1.882760615504135e-06,0.0,-6.448708234074729e-11,1.386557535454358e-11
46.0,45.0,0.99999999,1.0000000519518362,5.926824808272244e-06,0.9999999903059312,2.7112348958766647e-06,0.99999999,1.000000053449338,6.100678085542341e-06,0.9999999900213634,2.7909768010964064e-06,0.0,-1.497501900260545e-09,2.8456781375751916e-10
46.0,47.0,0.99999999,1.0000000417279278,4.971560780829115e-06,0.9999999776317163,2.4151932029420432e-06,0.99999999,1.0000000416980392,4.970100594568111e-06,0.9999999776249161,2.4148329886195817e-06,0.0,2.9888536090538764e-11,6.800227048131546e-12
47.0,46.0,0.9999999982171616,1.0000000035041834,7.777194030962282e-07,1.0000000167705574,1.0838051820451425e-06,0.9999999982125954,1.0000000035034387,7.777318638556286e-07,1.0000000167723988,1.08389367375581e-06,4.566125255678344e-12,7.44737604918555e-13,-1.8414159086432846e-12
47.0,48.0,0.99999999,1.000000005525178,7.619889728639758e-07,0.9999999430168679,9.096142611595527e-07,0.99999999,1.0000000054419933,7.499871021470007e-07,0.999999943895879,8.952803357889481e-07,0.0,8.31847923876694e-11,-8.790110861411904e-10
